gene,description,apoptosis,cell_cycle,p53_signaling,immune_response,metabolism,DNA_repair,angiogenesis,inflammation,oxidative_stress,transcription_regulation
GENE_0076,Predicted function for GENE_0076 based on expression profile.,0,1,0,0,0,0,0,0,0,0
GENE_0077,Predicted function for GENE_0077 based on expression profile.,0,0,0,0,0,0,0,0,1,1
GENE_0078,Predicted function for GENE_0078 based on expression profile.,0,0,0,1,0,0,0,0,0,0
GENE_0079,Predicted function for GENE_0079 based on expression profile.,0,0,1,0,0,0,0,0,0,0
GENE_0080,Predicted function for GENE_0080 based on expression profile.,0,0,0,1,0,0,0,0,0,1
GENE_0081,Predicted function for GENE_0081 based on expression profile.,0,0,0,1,0,0,0,0,0,0
GENE_0082,Predicted function for GENE_0082 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0083,Predicted function for GENE_0083 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0084,Predicted function for GENE_0084 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0085,Predicted function for GENE_0085 based on expression profile.,0,0,0,0,0,0,0,0,0,1
GENE_0086,Predicted function for GENE_0086 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0087,Predicted function for GENE_0087 based on expression profile.,0,0,0,1,0,0,0,0,0,0
GENE_0088,Predicted function for GENE_0088 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0089,Predicted function for GENE_0089 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0090,Predicted function for GENE_0090 based on expression profile.,0,0,0,0,0,0,1,0,0,0
GENE_0091,Predicted function for GENE_0091 based on expression profile.,0,0,0,0,0,1,0,0,0,0
GENE_0092,Predicted function for GENE_0092 based on expression profile.,0,0,1,0,0,0,0,0,0,0
GENE_0093,Predicted function for GENE_0093 based on expression profile.,1,0,0,0,1,0,0,0,0,0
GENE_0094,Predicted function for GENE_0094 based on expression profile.,0,0,0,0,0,0,0,1,0,0
GENE_0095,Predicted function for GENE_0095 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0096,Predicted function for GENE_0096 based on expression profile.,0,1,0,0,0,1,0,0,0,0
GENE_0097,Predicted function for GENE_0097 based on expression profile.,0,0,1,0,0,0,0,1,0,0
GENE_0098,Predicted function for GENE_0098 based on expression profile.,1,0,0,1,0,0,0,0,0,0
GENE_0099,Predicted function for GENE_0099 based on expression profile.,0,0,0,0,0,0,0,0,1,0
GENE_0100,Predicted function for GENE_0100 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0101,Predicted function for GENE_0101 based on expression profile.,0,0,0,0,0,0,0,0,0,1
GENE_0102,Predicted function for GENE_0102 based on expression profile.,0,0,0,0,0,1,0,0,0,1
GENE_0103,Predicted function for GENE_0103 based on expression profile.,0,0,0,0,0,1,0,0,0,0
GENE_0104,Predicted function for GENE_0104 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0105,Predicted function for GENE_0105 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0106,Predicted function for GENE_0106 based on expression profile.,0,1,0,1,0,0,0,0,0,0
GENE_0107,Predicted function for GENE_0107 based on expression profile.,0,0,0,0,0,1,0,0,0,0
GENE_0108,Predicted function for GENE_0108 based on expression profile.,0,0,0,0,0,0,0,1,0,1
GENE_0109,Predicted function for GENE_0109 based on expression profile.,0,0,0,0,0,1,0,0,0,1
GENE_0110,Predicted function for GENE_0110 based on expression profile.,1,0,0,0,0,0,0,0,0,1
GENE_0111,Predicted function for GENE_0111 based on expression profile.,0,0,0,0,0,0,1,0,0,1
GENE_0112,Predicted function for GENE_0112 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0113,Predicted function for GENE_0113 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0114,Predicted function for GENE_0114 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0115,Predicted function for GENE_0115 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0116,Predicted function for GENE_0116 based on expression profile.,0,1,0,0,0,0,0,0,0,0
GENE_0117,Predicted function for GENE_0117 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0118,Predicted function for GENE_0118 based on expression profile.,0,0,0,0,0,0,0,1,0,0
GENE_0119,Predicted function for GENE_0119 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0120,Predicted function for GENE_0120 based on expression profile.,0,0,0,0,0,0,1,0,0,0
GENE_0121,Predicted function for GENE_0121 based on expression profile.,1,0,0,0,0,0,0,1,0,0
GENE_0122,Predicted function for GENE_0122 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0123,Predicted function for GENE_0123 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0124,Predicted function for GENE_0124 based on expression profile.,0,1,0,0,0,0,0,1,0,0
GENE_0125,Predicted function for GENE_0125 based on expression profile.,1,0,1,0,0,0,0,0,0,0
GENE_0126,Predicted function for GENE_0126 based on expression profile.,0,1,0,0,0,0,1,0,0,0
GENE_0127,Predicted function for GENE_0127 based on expression profile.,0,0,0,0,0,1,0,0,0,1
GENE_0128,Predicted function for GENE_0128 based on expression profile.,0,0,0,1,0,1,0,0,0,0
GENE_0129,Predicted function for GENE_0129 based on expression profile.,0,0,0,1,1,0,0,0,0,0
GENE_0130,Predicted function for GENE_0130 based on expression profile.,0,1,0,0,0,1,0,0,0,0
GENE_0131,Predicted function for GENE_0131 based on expression profile.,0,0,0,0,0,0,0,1,0,0
GENE_0132,Predicted function for GENE_0132 based on expression profile.,1,0,0,0,0,0,0,1,0,0
GENE_0133,Predicted function for GENE_0133 based on expression profile.,0,1,0,0,0,0,0,0,1,0
GENE_0134,Predicted function for GENE_0134 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0135,Predicted function for GENE_0135 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0136,Predicted function for GENE_0136 based on expression profile.,0,0,0,0,0,0,0,1,0,1
GENE_0137,Predicted function for GENE_0137 based on expression profile.,0,0,0,0,0,1,0,0,0,0
GENE_0138,Predicted function for GENE_0138 based on expression profile.,0,0,0,0,0,1,0,0,0,0
GENE_0139,Predicted function for GENE_0139 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0140,Predicted function for GENE_0140 based on expression profile.,0,0,0,1,0,0,1,0,0,0
GENE_0141,Predicted function for GENE_0141 based on expression profile.,0,0,0,0,0,0,1,0,0,0
GENE_0142,Predicted function for GENE_0142 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0143,Predicted function for GENE_0143 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0144,Predicted function for GENE_0144 based on expression profile.,0,0,0,1,0,0,0,0,0,0
GENE_0145,Predicted function for GENE_0145 based on expression profile.,0,0,0,0,0,0,0,1,1,0
GENE_0146,Predicted function for GENE_0146 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0147,Predicted function for GENE_0147 based on expression profile.,0,0,0,0,1,0,0,1,0,0
GENE_0148,Predicted function for GENE_0148 based on expression profile.,0,0,1,0,1,0,0,0,0,0
GENE_0149,Predicted function for GENE_0149 based on expression profile.,0,1,0,0,0,1,0,0,0,0
GENE_0150,Predicted function for GENE_0150 based on expression profile.,0,0,1,1,0,0,0,0,0,0
GENE_0151,Predicted function for GENE_0151 based on expression profile.,0,0,0,0,0,0,0,0,0,1
GENE_0152,Predicted function for GENE_0152 based on expression profile.,0,0,1,1,0,0,0,0,0,0
GENE_0153,Predicted function for GENE_0153 based on expression profile.,0,0,0,0,0,0,0,0,0,1
GENE_0154,Predicted function for GENE_0154 based on expression profile.,1,0,0,0,0,0,0,0,0,0
GENE_0155,Predicted function for GENE_0155 based on expression profile.,0,0,1,0,0,0,0,0,1,0
GENE_0156,Predicted function for GENE_0156 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0157,Predicted function for GENE_0157 based on expression profile.,1,0,0,1,0,0,0,0,0,0
GENE_0158,Predicted function for GENE_0158 based on expression profile.,0,0,0,0,0,1,0,0,0,0
GENE_0159,Predicted function for GENE_0159 based on expression profile.,0,0,0,0,1,0,0,0,0,0
GENE_0160,Predicted function for GENE_0160 based on expression profile.,0,1,0,0,0,0,0,1,0,0
GENE_0161,Predicted function for GENE_0161 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0162,Predicted function for GENE_0162 based on expression profile.,0,1,0,0,0,0,0,1,0,0
GENE_0163,Predicted function for GENE_0163 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0164,Predicted function for GENE_0164 based on expression profile.,0,1,0,0,0,0,0,0,0,1
GENE_0165,Predicted function for GENE_0165 based on expression profile.,0,1,0,0,0,0,0,0,1,0
GENE_0166,Predicted function for GENE_0166 based on expression profile.,0,0,0,0,0,0,0,0,1,0
GENE_0167,Predicted function for GENE_0167 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0168,Predicted function for GENE_0168 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0169,Predicted function for GENE_0169 based on expression profile.,0,0,1,0,0,0,0,0,0,0
GENE_0170,Predicted function for GENE_0170 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0171,Predicted function for GENE_0171 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0172,Predicted function for GENE_0172 based on expression profile.,0,1,0,0,0,0,0,1,0,0
GENE_0173,Predicted function for GENE_0173 based on expression profile.,0,0,0,0,0,0,1,0,0,0
GENE_0174,Predicted function for GENE_0174 based on expression profile.,0,0,0,0,0,1,1,0,0,0
GENE_0175,Predicted function for GENE_0175 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0176,Predicted function for GENE_0176 based on expression profile.,0,0,0,0,0,0,0,0,0,1
GENE_0177,Predicted function for GENE_0177 based on expression profile.,0,0,0,0,0,0,1,0,0,0
GENE_0178,Predicted function for GENE_0178 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0179,Predicted function for GENE_0179 based on expression profile.,0,0,0,0,0,0,0,1,0,0
GENE_0180,Predicted function for GENE_0180 based on expression profile.,0,1,0,0,0,0,0,0,0,0
GENE_0181,Predicted function for GENE_0181 based on expression profile.,0,0,0,0,1,0,0,0,1,0
GENE_0182,Predicted function for GENE_0182 based on expression profile.,0,0,0,0,0,0,0,0,1,0
GENE_0183,Predicted function for GENE_0183 based on expression profile.,1,0,0,0,0,0,0,0,0,0
GENE_0184,Predicted function for GENE_0184 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0185,Predicted function for GENE_0185 based on expression profile.,0,0,0,0,0,0,0,1,0,1
GENE_0186,Predicted function for GENE_0186 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0187,Predicted function for GENE_0187 based on expression profile.,0,0,1,0,0,0,0,0,0,0
GENE_0188,Predicted function for GENE_0188 based on expression profile.,0,0,0,0,0,1,0,0,0,0
GENE_0189,Predicted function for GENE_0189 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0190,Predicted function for GENE_0190 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0191,Predicted function for GENE_0191 based on expression profile.,0,0,0,0,0,0,0,1,0,0
GENE_0192,Predicted function for GENE_0192 based on expression profile.,0,0,0,1,0,0,0,0,0,0
GENE_0193,Predicted function for GENE_0193 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0194,Predicted function for GENE_0194 based on expression profile.,0,1,0,0,0,0,0,0,0,0
GENE_0195,Predicted function for GENE_0195 based on expression profile.,1,0,0,0,0,0,0,1,0,0
GENE_0196,Predicted function for GENE_0196 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0197,Predicted function for GENE_0197 based on expression profile.,0,0,0,0,0,0,1,0,0,0
GENE_0198,Predicted function for GENE_0198 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0199,Predicted function for GENE_0199 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0200,Predicted function for GENE_0200 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0201,Predicted function for GENE_0201 based on expression profile.,1,0,0,0,1,0,0,0,0,0
GENE_0202,Predicted function for GENE_0202 based on expression profile.,0,0,0,0,0,0,0,0,1,1
GENE_0203,Predicted function for GENE_0203 based on expression profile.,0,0,0,1,0,0,0,0,0,0
GENE_0204,Predicted function for GENE_0204 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0205,Predicted function for GENE_0205 based on expression profile.,0,0,0,1,1,0,0,0,0,0
GENE_0206,Predicted function for GENE_0206 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0207,Predicted function for GENE_0207 based on expression profile.,0,0,0,0,1,0,0,0,0,0
GENE_0208,Predicted function for GENE_0208 based on expression profile.,0,0,1,0,0,0,0,0,0,0
GENE_0209,Predicted function for GENE_0209 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0210,Predicted function for GENE_0210 based on expression profile.,0,0,0,1,0,0,0,0,0,1
GENE_0211,Predicted function for GENE_0211 based on expression profile.,0,0,0,0,0,1,0,0,0,0
GENE_0212,Predicted function for GENE_0212 based on expression profile.,0,0,0,0,0,0,0,0,0,1
GENE_0213,Predicted function for GENE_0213 based on expression profile.,0,1,0,0,0,0,1,0,0,0
GENE_0214,Predicted function for GENE_0214 based on expression profile.,1,0,0,0,0,0,0,0,0,0
GENE_0215,Predicted function for GENE_0215 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0216,Predicted function for GENE_0216 based on expression profile.,0,1,0,0,0,0,0,0,1,0
GENE_0217,Predicted function for GENE_0217 based on expression profile.,0,0,1,0,0,0,0,0,0,0
GENE_0218,Predicted function for GENE_0218 based on expression profile.,0,0,0,0,0,0,0,0,1,0
GENE_0219,Predicted function for GENE_0219 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0220,Predicted function for GENE_0220 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0221,Predicted function for GENE_0221 based on expression profile.,0,0,0,1,0,0,0,0,0,0
GENE_0222,Predicted function for GENE_0222 based on expression profile.,1,0,0,0,1,0,0,0,0,0
GENE_0223,Predicted function for GENE_0223 based on expression profile.,0,0,0,0,1,1,0,0,0,0
GENE_0224,Predicted function for GENE_0224 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0225,Predicted function for GENE_0225 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0226,Predicted function for GENE_0226 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0227,Predicted function for GENE_0227 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0228,Predicted function for GENE_0228 based on expression profile.,0,1,0,0,0,0,0,0,0,0
GENE_0229,Predicted function for GENE_0229 based on expression profile.,0,0,0,0,0,0,0,0,0,1
GENE_0230,Predicted function for GENE_0230 based on expression profile.,0,1,0,0,0,1,0,0,0,0
GENE_0231,Predicted function for GENE_0231 based on expression profile.,0,0,0,1,0,0,0,0,1,0
GENE_0232,Predicted function for GENE_0232 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0233,Predicted function for GENE_0233 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0234,Predicted function for GENE_0234 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0235,Predicted function for GENE_0235 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0236,Predicted function for GENE_0236 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0237,Predicted function for GENE_0237 based on expression profile.,0,0,0,0,0,1,0,0,0,0
GENE_0238,Predicted function for GENE_0238 based on expression profile.,0,0,0,0,0,0,0,1,0,0
GENE_0239,Predicted function for GENE_0239 based on expression profile.,0,0,0,0,0,0,1,0,1,0
GENE_0240,Predicted function for GENE_0240 based on expression profile.,0,1,0,1,0,0,0,0,0,0
GENE_0241,Predicted function for GENE_0241 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0242,Predicted function for GENE_0242 based on expression profile.,0,1,0,0,0,0,0,0,1,0
GENE_0243,Predicted function for GENE_0243 based on expression profile.,0,0,0,0,0,0,0,0,0,1
GENE_0244,Predicted function for GENE_0244 based on expression profile.,0,0,0,0,1,0,0,0,1,0
GENE_0245,Predicted function for GENE_0245 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0246,Predicted function for GENE_0246 based on expression profile.,0,0,0,0,0,1,0,1,0,0
GENE_0247,Predicted function for GENE_0247 based on expression profile.,0,0,1,0,0,1,0,0,0,0
GENE_0248,Predicted function for GENE_0248 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0249,Predicted function for GENE_0249 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0250,Predicted function for GENE_0250 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0251,Predicted function for GENE_0251 based on expression profile.,0,0,0,0,1,0,0,0,1,0
GENE_0252,Predicted function for GENE_0252 based on expression profile.,0,0,0,1,0,0,0,0,0,0
GENE_0253,Predicted function for GENE_0253 based on expression profile.,0,0,0,1,0,0,0,0,0,0
GENE_0254,Predicted function for GENE_0254 based on expression profile.,0,0,0,1,0,0,0,0,0,0
GENE_0255,Predicted function for GENE_0255 based on expression profile.,0,0,0,0,0,0,0,0,0,1
GENE_0256,Predicted function for GENE_0256 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0257,Predicted function for GENE_0257 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0258,Predicted function for GENE_0258 based on expression profile.,0,1,0,0,0,0,0,0,0,0
GENE_0259,Predicted function for GENE_0259 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0260,Predicted function for GENE_0260 based on expression profile.,0,0,0,1,0,1,0,0,0,0
GENE_0261,Predicted function for GENE_0261 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0262,Predicted function for GENE_0262 based on expression profile.,1,0,0,0,0,0,0,0,0,0
GENE_0263,Predicted function for GENE_0263 based on expression profile.,0,0,1,0,0,0,0,0,0,0
GENE_0264,Predicted function for GENE_0264 based on expression profile.,0,0,1,0,0,0,0,0,0,1
GENE_0265,Predicted function for GENE_0265 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0266,Predicted function for GENE_0266 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0267,Predicted function for GENE_0267 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0268,Predicted function for GENE_0268 based on expression profile.,0,0,0,0,0,0,0,1,1,0
GENE_0269,Predicted function for GENE_0269 based on expression profile.,0,0,0,1,1,0,0,0,0,0
GENE_0270,Predicted function for GENE_0270 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0271,Predicted function for GENE_0271 based on expression profile.,0,0,0,0,0,0,0,0,0,1
GENE_0272,Predicted function for GENE_0272 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0273,Predicted function for GENE_0273 based on expression profile.,0,0,0,0,0,1,0,0,1,0
GENE_0274,Predicted function for GENE_0274 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0275,Predicted function for GENE_0275 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0276,Predicted function for GENE_0276 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0277,Predicted function for GENE_0277 based on expression profile.,0,0,1,0,1,0,0,0,0,0
GENE_0278,Predicted function for GENE_0278 based on expression profile.,1,0,0,0,0,0,0,0,0,1
GENE_0279,Predicted function for GENE_0279 based on expression profile.,0,0,0,0,0,1,0,0,0,1
GENE_0280,Predicted function for GENE_0280 based on expression profile.,0,0,1,0,0,0,0,0,0,0
GENE_0281,Predicted function for GENE_0281 based on expression profile.,0,0,1,0,0,0,1,0,0,0
GENE_0282,Predicted function for GENE_0282 based on expression profile.,1,1,0,0,0,0,0,0,0,0
GENE_0283,Predicted function for GENE_0283 based on expression profile.,0,0,0,0,0,0,1,0,0,0
GENE_0284,Predicted function for GENE_0284 based on expression profile.,0,0,0,0,0,0,0,0,1,0
GENE_0285,Predicted function for GENE_0285 based on expression profile.,0,0,1,0,0,0,0,0,0,0
GENE_0286,Predicted function for GENE_0286 based on expression profile.,0,0,0,0,0,0,0,0,0,0
GENE_0287,Predicted function for GENE_0287 based on expression profile.,0,0,0,0,1,0,1,0,0,0
